Type,Name,Occurrences,SamplePaths
Command,CreateDrawCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CreateDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawAdminController.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawAdminWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CreateDrawCommandHandler.java"
Command,CreateDrawChannelCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CreateDrawChannelCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawChannelWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CreateDrawChannelCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,UpdateDrawCommand,8,"src/main/java/com/tchalanet/server/core/draw/application/command/model/UpdateDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawAdminController.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawAdminWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/UpdateDrawCommandHandler.java"
Command,SettleDrawCommand,6,"src/main/java/com/tchalanet/server/core/draw/application/command/model/SettleDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/SettleDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawWebMapper.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/results/settle/SettleProcessor.java"
Command,OpenDueDrawsCommand,7,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OpenDueDrawsCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/OpenDueDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,CloseDueDrawsCommand,7,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CloseDueDrawsCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CloseDueDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,GenerateDrawsForRangeCommand,9,"src/main/java/com/tchalanet/server/core/draw/application/command/model/GenerateDrawsForRangeCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/GenerateDrawsForRangeCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,ApplyExternalResultsForDateCommand,10,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ApplyExternalResultsForDateCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ApplyExternalResultsForDateCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawResultsScheduler.java"
Command,FetchAndApplyExternalResultCommand,8,"src/main/java/com/tchalanet/server/core/draw/application/command/model/FetchAndApplyExternalResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/FetchAndApplyExternalResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawWebMapper.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,FetchExternalResultsForDateCommand,6,"src/main/java/com/tchalanet/server/core/draw/application/command/model/FetchExternalResultsForDateCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/FetchExternalResultsForDateCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawResultsScheduler.java"
Command,RefreshPublicDrawsCacheCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshPublicDrawsCacheCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RefreshPublicDrawsCacheCommandHandler.java; src/main/java/com/tchalanet/server/features/pagemodel/batch/RefreshPublicCacheTasklet.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,RefreshInternalDrawCacheCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshInternalDrawCacheCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RefreshInternalDrawCacheCommandHandler.java"
Command,RefreshDrawCacheCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshDrawCacheCommand.java"
Command,InvalidateDrawCacheCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/InvalidateDrawCacheCommand.java"
Command,RecordManualDrawResultCommand,3,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RecordManualDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RecordManualDrawResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java"
Command,OverrideDrawResultCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OverrideDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/OverrideDrawResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/verification.md; src/main/java/com/tchalanet/server/core/draw/infra/web/model/OverrideDrawResultRequest.java"
Command,InvalidateDrawResultCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/InvalidateDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/InvalidateDrawResultCommandHandler.java"
Command,RetrySettleDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RetrySettleDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RetrySettleDrawCommandHandler.java"
Command,ResetSettlementForDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ResetSettlementForDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ResetSettlementForDrawCommandHandler.java"
Command,CancelDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CancelDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CancelDrawsCommandHandler.java"
Command,ArchiveDrawChannelCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ArchiveDrawChannelCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ArchiveDrawChannelCommandHandler.java"
Command,ArchiveDrawCommand,3,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ArchiveDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ArchiveDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java"
Command,GenerateDrawsForDateRangeCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/GenerateDrawsForDateRangeCommand.java"
Command,RebuildDrawReadModelsCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RebuildDrawReadModelsCommand.java"
Command,OpenDueDrawsResult,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OpenDueDrawsResult.java"
Command,CloseDueDrawsResult,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CloseDueDrawsResult.java"
Query,GetLatestPublicDrawResultsQuery,9,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetLatestPublicDrawResultsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetLatestPublicDrawResultsQueryHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/PublicDrawResultController.java; src/main/java/com/tchalanet/server/features/pagemodel/shared/dynamic/SharedResultsByGameAggregator.java"
Query,ListDrawResultsQuery,6,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListDrawResultsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListDrawResultsHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawResultsController.java"
Query,GetNextDrawQuery,8,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetNextDrawQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetNextDrawHandler.java; src/main/java/com/tchalanet/server/core/draw/application/port/out/DrawReaderPort.java; src/main/java/com/tchalanet/server/core/draw/infra/persistence/adapter/DrawJpaRepositoryAdapter.java"
Query,ListPublicDrawResultsQuery,7,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListPublicDrawResultsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListPublicDrawResultsQueryHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/PublicDrawResultController.java"
Query,GetNextDrawsQuery,8,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetNextDrawsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetNextDrawsHandler.java; src/main/java/com/tchalanet/server/core/draw/application/port/out/DrawReaderPort.java; src/main/java/com/tchalanet/server/core/draw/infra/persistence/adapter/DrawJpaRepositoryAdapter.java"
Query,ListActiveDrawChannelsQuery,4,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListActiveDrawChannelsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListActiveDrawChannelsHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawChannelController.java"
Query,GetDrawChannelQuery,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetDrawChannelQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawChannelHandler.java"
Query,ListLastDaysDrawsQuery,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListLastDaysDrawsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListLastDaysDrawsHandler.java"
Query,GetPublicDrawResultQuery,4,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetPublicDrawResultQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetPublicDrawResultQueryHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/PublicDrawResultController.java"
Query,ListTodayDrawResultQuery,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListTodayDrawResultQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListTodayDrawResultsHandler.java"
Query,GetDrawQuery,6,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetDrawQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawHandler.java; src/main/java/com/tchalanet/server/core/sales/application/command/handler/SellTicketCommandHandler.java"
Query,DrawChannelSearchCriteria,5,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawChannelSearchCriteria.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListActiveDrawChannelsHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/persistence/adapter/DrawChannelJpaRepositoryAdapter.java"
Query,DrawQuery,2,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawHandler.java"
Query,DrawResultOverrideMetadata,1,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawResultOverrideMetadata.java"
Query,DrawResultsSearchCriteria,4,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawResultsSearchCriteria.java; src/main/java/com/tchalanet/server/core/uslottery/application/query/handler/GetLatestDrawResultsQueryHandler.java"
Query,ListTodayDrawsQuery,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListTodayDrawsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListTodayDrawsHandler.java"
Query,ListDrawChannelsQuery,2,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListDrawChannelsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListActiveDrawChannelsHandler.java"
Query,ListLastDaysDrawResultsQuery,1,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListLastDaysDrawResultsQuery.java"
Query,ListDrawsQuery,2,"src/main/java/com/tchalanet/server/core/draw/application/query/model/ListDrawsQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListDrawsHandler.java"
Query,DrawSearchCriteria,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawSearchCriteria.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListTodayDrawsHandler.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListLastDaysDrawsHandler.java"
Query,GetDrawResultQuery,3,"src/main/java/com/tchalanet/server/core/draw/application/query/model/GetDrawResultQuery.java; src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawResultHandler.java"
Query,DrawResultQuery,1,"src/main/java/com/tchalanet/server/core/draw/application/query/model/DrawResultQuery.java"
QueryHandler,GetLatestPublicDrawResultsQueryHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetLatestPublicDrawResultsQueryHandler.java"
QueryHandler,ListDrawResultsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListDrawResultsHandler.java"
QueryHandler,GetNextDrawHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetNextDrawHandler.java"
QueryHandler,ListPublicDrawResultsQueryHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListPublicDrawResultsQueryHandler.java"
QueryHandler,GetNextDrawsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetNextDrawsHandler.java"
QueryHandler,ListActiveDrawChannelsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListActiveDrawChannelsHandler.java"
QueryHandler,GetDrawHandler,3,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawHandler.java; src/main/java/com/tchalanet/server/core/sales/application/command/handler/SellTicketCommandHandler.java"
QueryHandler,ListDrawChannelsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListDrawChannelsHandler.java"
QueryHandler,ListTodayDrawsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListTodayDrawsHandler.java"
QueryHandler,ListTodayDrawResultsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListTodayDrawResultsHandler.java"
QueryHandler,ListLastDaysDrawsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListLastDaysDrawsHandler.java"
QueryHandler,ListLastDaysDrawResultsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListLastDaysDrawResultsHandler.java"
QueryHandler,GetDrawResultHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawResultHandler.java"
QueryHandler,GetPublicDrawResultQueryHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetPublicDrawResultQueryHandler.java"
QueryHandler,GetDrawChannelHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/GetDrawChannelHandler.java"
QueryHandler,ListDrawsHandler,1,"src/main/java/com/tchalanet/server/core/draw/application/query/handler/ListDrawsHandler.java"
